Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;03/2020;1.190.028;604.766;55.817;1.267.604;1.272.035;4.390.249;0;0;219.652;0;0;0;219.652;855.981;5.465.882;0;12.857.443;18.323.324;0;2.205.756;20.529.080
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;03/2020;96.538;0;245.502;10.641.161;4.886;10.988.086;110.001;68.385;72.280;954.459;31.634;0;1.126.757;775.702;13.000.547;273.278;3.074.622;16.348.447;0;4.018.396;20.366.842
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;03/2020;774.135;2.066.141;50.013;9.011.298;11.037;11.912.623;1.166.416;206.291;0;10.879;0;0;217.169;111.130;13.407.339;0;2.704.809;16.112.149;98;1.931.313;18.043.560
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;03/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;12.885.685;12.885.685;0;890.512;13.776.196;6.175;2.936.099;16.718.470
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n1;S5;C;2;SAO PAULO;SP;03/2020;0;0;0;0;79.523;79.523;0;0;0;0;0;0;0;1.175.165;1.254.688;0;11.682.470;12.937.158;0;2.705.200;15.642.358
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;03/2020;41.815;0;0;1.698.947;0;1.740.762;1.366.855;20.782;553.584;5.398.327;0;704.287;6.676.979;1.481.304;11.265.899;488.127;457.967;12.211.993;18.929;2.570.929;14.801.851
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;03/2020;0;0;3.089.874;2.898.469;0;5.988.343;0;0;0;2.037.116;0;0;2.037.116;0;8.025.459;0;3.126.516;11.151.975;103.889;2.711.354;13.967.218
ORIGINAL;1000080903;b1;S3;C;2;SAO PAULO;SP;03/2020;253.851;0;135.545;6.205.779;103.962;6.699.137;78.935;1.945.959;1.669.632;63.183;0;0;3.678.774;21.816;10.478.662;98.955;740.137;11.317.755;17.504;2.162.927;13.498.185
PAGSEGURO;1000084813;n4;;C;2;SAO PAULO;SP;03/2020;0;0;0;0;701.863;701.863;0;0;0;0;0;0;0;0;701.863;0;4.901.214;5.603.077;102.300;7.711.555;13.416.932
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;03/2020;0;0;4.896.069;2.580.411;0;7.476.481;0;0;0;464.695;0;0;464.695;2.782.225;10.723.400;6.070;418.643;11.148.113;8.511;2.027.936;13.184.560
HSBC BI - PRUDENCIAL;1000084741;b2;S4;I;3;SAO PAULO;SP;03/2020;0;0;0;3.368.059;0;3.368.059;166.070;0;0;108.502;0;0;108.502;488.485;4.131.116;3.342.934;3.887.438;11.361.488;0;1.080.447;12.441.934
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;03/2020;575.777;0;25.052;1.459.912;0;2.060.741;0;0;0;0;0;0;0;1.779.516;3.840.258;1.468.970;4.658.149;9.967.377;3.051;1.647.886;11.618.314
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;03/2020;101.992;0;127.275;5.991.403;0;6.220.670;1.120.578;95.205;317.054;10.854;0;0;423.113;142.624;7.906.984;2.030.283;430.618;10.367.886;30.980;841.824;11.240.689
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;03/2020;115;0;0;972.219;0;972.334;852.746;0;0;0;0;0;0;2.969.787;4.794.867;4.753.384;479.741;10.027.992;0;1.141.991;11.169.983
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;03/2020;7.824;0;601.337;7.048;0;616.209;30.014;0;0;1.217.840;0;0;1.217.840;0;1.864.063;0;6.425.432;8.289.495;135;2.693.738;10.983.368
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;03/2020;0;0;659.020;886.821;0;1.545.841;0;310.541;157.590;887.926;0;0;1.356.057;6.281.675;9.183.573;62.477;163.996;9.410.046;211.840;1.283.164;10.905.049
INTER - PRUDENCIAL;1000080996;b1;S4;C;2;BELO HORIZONTE;MG;03/2020;2.586.398;346.240;0;2.433.955;0;5.366.592;260.593;1.663.173;0;11.307;0;12.831;1.687.311;42.024;7.356.520;19.419;961.345;8.337.284;0;2.148.490;10.485.774
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;03/2020;322.983;201.079;96.853;6.114.660;0;6.735.575;297.751;3.676;134.715;16.118;0;0;154.510;0;7.187.836;0;1.963.369;9.151.205;317;979.055;10.130.577
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;03/2020;467.691;0;1.481;54.868;0;524.040;0;0;0;307.032;0;0;307.032;7.139.857;7.970.929;0;81.814;8.052.743;6.848;1.409.710;9.469.302
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;03/2020;982.739;1.097.371;193.867;4.394.883;0;6.668.859;680.475;0;0;249.856;0;0;249.856;4.857;7.604.047;0;343.801;7.947.848;0;1.420.203;9.368.051
BS2 - PRUDENCIAL;1000080422;b1;S4;C;2;BELO HORIZONTE;MG;03/2020;160.086;0;227.891;2.873.103;9.208;3.270.289;0;57.684;0;6.490;0;0;64.174;41;3.334.504;56;5.542.650;8.877.209;3.022;487.067;9.367.298
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S4;I;3;SAO PAULO;SP;03/2020;0;0;511.681;293.861;0;805.542;0;11.163;0;2.396.921;0;0;2.408.084;4.131.221;7.344.847;180.573;580.112;8.105.532;83.008;960.143;9.148.682
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;03/2020;0;0;28.231;0;1.797.420;1.825.651;0;162.613;0;0;0;0;162.613;0;1.988.265;0;96.560;2.084.825;0;6.950.786;9.035.610
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;03/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.612.664;8.612.664;0;320.328;8.932.992
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;03/2020;0;0;610.218;0;0;610.218;0;0;0;1.351.293;0;50.333;1.401.626;225.272;2.237.116;0;5.383.764;7.620.880;0;1.061.412;8.682.292
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;03/2020;176.214;0;1.535;1.068.634;0;1.246.382;237.199;151.432;1.082.181;1.110.144;0;0;2.343.758;3.092.665;6.920.005;488.163;519.067;7.927.234;16.246;673.576;8.617.057
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2020;98;0;0;0;0;98;0;0;0;0;0;0;0;0;98;0;2.015.296;2.015.394;0;6.084.019;8.099.413
MIZUHO - PRUDENCIAL;1000080697;b1;S4;C;3;SAO PAULO;SP;03/2020;84.832;0;235.142;1.418.547;0;1.738.521;964.716;0;0;3.531;0;0;3.531;2.625.884;5.332.653;378.218;1.609.995;7.320.866;695;747.642;8.069.203
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;03/2020;134.461;0;105;4.298.992;0;4.433.558;288.385;136.764;318.657;11.434;0;0;466.855;251.401;5.440.199;647.538;741.387;6.829.124;7.637;1.187.904;8.024.665
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;03/2020;80.740;0;118;1.550.272;0;1.631.130;0;0;0;0;0;0;0;3.193.202;4.824.333;458.119;773.100;6.055.552;2.963;1.807.948;7.866.463
