Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;S3;I;2;BRASILIA;DF;12/2019;0;0;70.558;0;1.893.795;1.964.353;0;218.614;0;0;0;0;218.614;0;2.182.967;0;121.919;2.304.886;0;6.851.232;9.156.118
BOCOM;52003;b1;S4;C;3;SALVADOR;BA;12/2019;290.372;0;1.630;673.090;0;965.092;1.713.255;152.260;1.114.001;1.241.505;213.991;0;2.721.756;2.254.157;7.654.261;106.737;598.659;8.359.657;15.911;653.171;9.028.739
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;S3;I;1;BELEM;PA;12/2019;882.529;1.154.877;191.919;3.701.985;0;5.931.309;949.378;0;0;238.789;0;0;238.789;3.861;7.123.337;0;304.236;7.427.573;0;1.365.474;8.793.048
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;S4;I;3;SAO PAULO;SP;12/2019;0;0;1.197.505;276.413;0;1.473.917;0;7.517;0;2.455.935;0;0;2.463.452;2.873.924;6.811.294;170.770;638.262;7.620.325;101.456;926.560;8.648.342
PORTO SEGURO;51444;n1;S4;C;2;SAO PAULO;SP;12/2019;0;0;108.741;0;0;108.741;0;0;0;1.337.087;0;0;1.337.087;173.053;1.618.880;0;5.628.444;7.247.324;0;865.261;8.112.586
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;12/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.521.840;7.521.840;0;318.570;7.840.410
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;S3;I;3;SAO PAULO;SP;12/2019;76.100;0;2.090;2.145.613;0;2.223.804;0;0;0;0;0;0;0;2.414.532;4.638.335;177.880;641.565;5.457.780;3.540;1.785.595;7.246.915
BANCO FIBRA S.A.;58616418;b1;S3;I;2;SAO PAULO;SP;12/2019;150.455;0;46.080;3.863.868;0;4.060.403;32.120;135.701;326.763;11.292;0;0;473.756;274.558;4.840.837;305.688;766.332;5.912.857;8.619;1.131.446;7.052.922
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;12/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;97.562;97.562;0;6.342.837;6.440.400;0;563.229;7.003.629
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S4;I;2;FLORIANOPOLIS;SC;12/2019;445;0;0;1.603.474;737;1.604.655;0;0;0;0;0;0;0;22.202;1.626.857;0;4.935.105;6.561.962;0;373.013;6.934.975
MIZUHO;51554;b1;S4;I;3;SAO PAULO;SP;12/2019;37.465;0;137.827;1.778.642;0;1.953.933;744.915;0;0;1.008;0;0;1.008;2.098.559;4.798.416;52.961;1.185.961;6.037.338;916;739.135;6.777.389
ADIQ SOLUCOES DE PAGAMENTO S.A.;20520298;n4;S4;I;2;BELO HORIZONTE;MG;12/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;17.634;17.634;0;6.675.415;6.693.049;0;24.871;6.717.921
SOFISA;31873;b1;S4;C;2;SAO PAULO;SP;12/2019;327.495;0;23.941;2.727.050;0;3.078.486;225.364;299.268;218.912;1.485.454;24.142;0;2.027.775;94.131;5.425.755;0;251.820;5.677.575;1.026;754.129;6.432.730
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;S4;I;3;SAO PAULO;SP;12/2019;108;0;0;1.050.892;0;1.051.000;424.583;0;0;0;0;0;0;2.193.168;3.668.750;935.070;713.754;5.317.574;0;1.095.991;6.413.565
BANCO FIDIS S/A;62237425;b2;S4;I;3;BETIM;MG;12/2019;0;0;1.661.634;1.966.746;0;3.628.380;0;982.839;0;817.182;0;0;1.800.022;0;5.428.401;1.360;140.203;5.569.964;720;787.629;6.358.313
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;12/2019;833.450;0;138.215;3.367.422;31.037;4.370.124;0;0;0;0;0;0;0;2.928;4.373.052;0;396.082;4.769.134;0;1.511.581;6.280.715
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;S4;I;3;PORTO ALEGRE;RS;12/2019;0;0;0;101.380;0;101.380;0;0;0;0;0;0;0;4.645.011;4.746.390;0;331.080;5.077.470;124.995;1.007.016;6.209.481
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;S3;I;1;BELO HORIZONTE;MG;12/2019;0;0;40.420;99.311;0;139.730;0;0;213.308;89.902;0;0;303.210;3.077.727;3.520.668;0;789.712;4.310.380;10.147;1.820.883;6.141.409
CREFISA;52010;b1;S4;C;2;SAO PAULO;SP;12/2019;24.043;0;0;956;7.417;32.416;0;0;0;0;0;0;0;0;32.416;0;340.516;372.932;1;5.765.704;6.138.638
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;12/2019;704.059;0;0;1.826.036;20.641;2.550.737;0;0;1.159.068;0;0;0;1.159.068;1.160;3.710.965;0;575.082;4.286.047;0;1.631.321;5.917.368
PARANÁ BANCO;30881;b1;S4;C;2;CURITIBA;PR;12/2019;5.980;0;331.423;1.654.990;0;1.992.393;130.341;18.967;0;2.050.887;0;0;2.069.854;167;4.192.755;0;409.506;4.602.261;0;1.228.491;5.830.752
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;12/2019;0;0;0;682;0;682;0;0;0;0;0;0;0;0;682;0;5.521.581;5.522.263;0;251.533;5.773.796
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;S4;I;2;SAO PAULO;SP;12/2019;0;0;422.647;0;0;422.647;0;0;0;500.727;0;1.120.568;1.621.295;0;2.043.942;0;2.624.450;4.668.392;0;1.032.983;5.701.375
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;S4;I;1;ARACAJU;SE;12/2019;769.989;1.472.015;126.718;2.152.575;228;4.521.526;104;49.591;0;49.415;0;0;99.006;92.883;4.713.520;0;375.842;5.089.362;11.055;433.857;5.534.274
HONDA;51396;b2;S4;C;3;SAO PAULO;SP;12/2019;0;0;2.561.329;196.946;0;2.758.275;0;0;0;428.019;0;0;428.019;801.089;3.987.383;30.178;178.923;4.196.483;11.404;1.011.905;5.219.792
BANCO VOLVO BRASIL S.A.;58017179;b2;S4;I;3;CURITIBA;PR;12/2019;0;0;0;69.190;0;69.190;0;0;0;0;0;0;0;3.913.983;3.983.173;0;88.964;4.072.137;7.822;1.112.065;5.192.024
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S4;I;2;RIBEIRAO PRETO;SP;12/2019;0;0;0;4.517.584;0;4.517.584;0;0;0;0;0;0;0;0;4.517.584;0;190.644;4.708.228;0;268.970;4.977.197
HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;53518684;b2;S4;I;3;SAO PAULO;SP;12/2019;0;0;0;1.659.645;0;1.659.645;0;0;0;107.371;0;0;107.371;203.198;1.970.215;683.576;882.076;3.535.867;0;1.073.934;4.609.801
BANCO ABN AMRO S.A.;3532415;b1;S4;I;3;SAO PAULO;SP;12/2019;0;0;0;41.056;0;41.056;0;0;52.187;368.781;0;0;420.968;1.621.391;2.083.415;22.683;1.834.366;3.940.465;17.595;615.965;4.574.026
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;12/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.118.590;4.118.590;0;400.400;4.518.990
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;b3C;S4;I;2;BLUMENAU;SC;12/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;184.885;184.885;0;3.900.870;4.085.754;0;363.663;4.449.417
GRUPO BONSUCESSO - BS2;52034;b1;S4;C;2;BELO HORIZONTE;MG;12/2019;531.939;0;188.806;2.473.054;3.953;3.197.752;12.792;67.339;0;6.698;0;0;74.036;7;3.284.588;90;463.483;3.748.161;3.898;510.079;4.262.139
HAITONG;51482;b2;S3;C;3;SAO PAULO;SP;12/2019;0;0;12.795;466.289;0;479.084;1.703.505;0;0;890.093;0;0;890.093;197.010;3.269.691;59.275;317.158;3.646.124;537;520.156;4.166.817
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;12/2019;354.246;0;0;1.464.433;4.803;1.823.482;0;0;647.725;0;0;0;647.725;2.296;2.473.503;0;781.427;3.254.930;0;745.957;4.000.887
SCANIA BANCO S.A.;11417016;b2;S4;I;3;SAO BERNARDO DO CAMPO;SP;12/2019;0;0;800;1.248.488;0;1.249.289;0;0;0;0;0;0;0;2.167.687;3.416.976;0;122.635;3.539.610;956;423.260;3.963.827
